Incident Date,State,City Or County,Address,# Killed,# Injured,Year
2014-05-10,Georgia,Decatur,Shamrock Drive ,2,3,2014
2014-05-04,Illinois,Chicago,500 West Erie Street,1,3,2014
2014-05-04,Colorado,Wheat Ridge,12100 W 44th,0,4,2014
2014-05-03,Arkansas,Jonesboro,2201 Moore Rd,4,4,2014
2014-04-30,Illinois,Chicago,7200 South Phillips Avenue,0,4,2014
2014-04-29,Georgia,Kennesaw,1675 Airport Road,1,6,2014
2014-04-27,New York,Troy,Fourth Street,0,5,2014
2014-04-25,Tennessee,Memphis,2000 Chelsea Avenue,2,3,2014
2014-04-22,California,Los Angeles,6419 Brynhurst Avenue,1,3,2014
2014-04-20,Illinois,Montgomery,1300 block of Jackson St,0,6,2014
2014-04-20,Florida,Tampa,2902 N. 32nd St.,2,2,2014
2014-04-20,Illinois,Chicago,6600 South Michigan Ave,0,5,2014
2014-04-14,District of Columbia,Washington,1500 block of 19th Street,0,4,2014
2014-04-12,Louisiana,New Orleans,2100 block of Pauger Street,1,3,2014
2014-04-11,Indiana,Richmond,North 15th and H Streets,0,4,2014
2014-04-09,Tennessee,Lookout Valley,Kellys Ferry Road and Kellys Ferry Place,3,1,2014
2014-04-09,Illinois,Rockford,300 North Sunset,0,4,2014
2014-04-07,Louisiana,New Orleans,500 block of South Alexander Street,0,4,2014
2014-04-06,Massachusetts,Springfield,90 Worthington St.,0,4,2014
2014-04-06,Oklahoma,Oklahoma City,Northwest 29th Street and Portland Avenue,0,4,2014
2014-04-05,Illinois,Chicago,4300 W Wilcox Street,1,5,2014
2014-04-05,Arizona,Phoenix,5400 block of W Palm Ln,1,3,2014
2014-04-05,California,Fairfield,Orchid Street ,0,4,2014
2014-04-02,Texas,Fort Hood,Motor Pool Road and Tank Destroyer Boulevard,4,16,2014
2014-03-30,Mississippi,Starkville,,0,5,2014
2014-03-30,North Carolina,Charlotte,4300 Sunset Road,0,5,2014
2014-03-23,Texas,Arlington,2700 Majesty Drive,1,3,2014
2014-03-23,California,Long Beach,601 Long Beach Boulevard,1,3,2014
2014-03-23,California,San Francisco,Turk and Taylor,0,7,2014
2014-03-21,South Carolina,North Charleston,7550 Dorchester Road,0,4,2014
2014-03-16,Texas,Beaumont,S 4th St,3,1,2014
2014-03-16,Georgia,Waynesboro,4960 Highway 80 West ,0,4,2014
2014-03-14,New York,Brooklyn,S. Second and Roebling Sts,0,4,2014
2014-03-09,Ohio,Fremont,531 W State St,3,1,2014
2014-03-09,Texas,Austin, 4900 block of West Race Avenue,0,6,2014
2014-03-08,Illinois,Chicago,4900 West Race Ave,0,6,2014
2014-03-08,California,Richmond,1600 block of First Street,1,3,2014
2014-03-05,South Carolina,Pelzer,Law Street,3,2,2014
2014-03-01,Pennsylvania,Pittsburgh,Hamilton Avenue,1,4,2014
2014-03-01,Michigan,Detroit,7800 Gratiot Av.,0,4,2014
2014-02-25,Virginia,Glade Spring,Graceland Lane,5,1,2014
2014-02-22,California,Wilmington,1200 block of W Papeete St,0,4,2014
2014-02-20,Indiana,Indianapolis,3400 block of South Parker,4,0,2014
2014-02-20,California,Alturas,300 W 1st St,4,2,2014
2014-02-16,Texas,Fort Worth, 115 NW 25th St.,1,4,2014
2014-02-16,Florida,Orange County,4500 block of Riviera Shores ,1,6,2014
2014-02-16,Florida,Jacksonville,1187 S. Edgewood Ave.,1,4,2014
